month,ac,heater
2004-01,9,15
2004-02,13,16
2004-03,34,0
2004-04,41,12
2004-05,32,8
2004-06,18,15
2004-07,11,9
2004-08,7,15
2004-09,7,11
2004-10,8,9
2004-11,0,14
2004-12,6,11
2005-01,7,12
2005-02,13,12
2005-03,36,10
2005-04,42,10
2005-05,41,8
2005-06,23,9
2005-07,12,11
2005-08,9,7
2005-09,9,10
2005-10,11,10
2005-11,10,15
2005-12,6,15
2006-01,9,13
2006-02,20,8
2006-03,31,10
2006-04,51,6
2006-05,41,8
2006-06,15,9
2006-07,12,8
2006-08,7,9
2006-09,8,9
2006-10,12,10
2006-11,8,12
2006-12,7,12
2007-01,9,11
2007-02,13,9
2007-03,30,8
2007-04,62,8
2007-05,40,7
2007-06,26,9
2007-07,14,10
2007-08,9,8
2007-09,9,10
2007-10,8,10
2007-11,9,14
2007-12,7,15
2008-01,7,13
2008-02,13,12
2008-03,34,9
2008-04,64,8
2008-05,35,6
2008-06,17,8
2008-07,13,8
2008-08,10,9
2008-09,10,12
2008-10,11,11
2008-11,6,15
2008-12,6,13
2009-01,8,11
2009-02,18,10
2009-03,31,8
2009-04,87,9
2009-05,59,8
2009-06,39,10
2009-07,20,11
2009-08,17,10
2009-09,16,10
2009-10,15,12
2009-11,9,16
2009-12,10,15
2010-01,12,18
2010-02,22,11
2010-03,75,9
2010-04,100,9
2010-05,66,8
2010-06,36,9
2010-07,19,9
2010-08,14,9
2010-09,12,11
2010-10,15,12
2010-11,9,15
2010-12,8,22
2011-01,10,16
2011-02,20,9
2011-03,45,7
2011-04,46,6
2011-05,52,6
2011-06,26,7
2011-07,14,7
2011-08,12,7
2011-09,10,8
2011-10,11,9
2011-11,6,13
2011-12,5,16
2012-01,7,12
2012-02,15,9
2012-03,35,7
2012-04,47,5
2012-05,47,5
2012-06,33,6
2012-07,17,7
2012-08,10,7
2012-09,9,9
2012-10,9,12
2012-11,6,17
2012-12,6,18
2013-01,8,18
2013-02,14,9
2013-03,36,7
2013-04,55,6
2013-05,61,5
2013-06,24,7
2013-07,12,8
2013-08,10,8
2013-09,10,9
2013-10,9,11
2013-11,6,17
2013-12,6,18
2014-01,7,13
2014-02,11,8
2014-03,32,6
2014-04,63,5
2014-05,46,5
2014-06,36,5
2014-07,16,8
2014-08,11,8
2014-09,10,9
2014-10,13,12
2014-11,7,17
2014-12,6,33
2015-01,8,17
2015-02,18,9
2015-03,39,7
2015-04,55,6
2015-05,65,6
2015-06,27,7
2015-07,14,7
2015-08,11,7
2015-09,12,7
2015-10,14,9
2015-11,9,19
2015-12,7,25
2016-01,7,13
2016-02,19,8
2016-03,42,6
2016-04,75,6
2016-05,48,5
2016-06,31,6
2016-07,16,8
2016-08,11,7
2016-09,9,8
2016-10,9,9
2016-11,1,15
2016-12,<1,17
2017-01,<1,15
2017-02,<1,8
2017-03,<1,6
2017-04,<1,6
2017-05,<1,5
2017-06,<1,6
2017-07,<1,7
2017-08,<1,7
2017-09,0,8
2017-10,0,12
2017-11,<1,20
2017-12,0,24
2018-01,0,23
2018-02,<1,8
2018-03,<1,6
2018-04,<1,6
2018-05,<1,5
2018-06,<1,6
2018-07,<1,8
2018-08,<1,9
2018-09,1,9
2018-10,1,12
2018-11,1,17
2018-12,1,30
2019-01,1,21
2019-02,1,11
2019-03,1,7
2019-04,3,5
2019-05,11,6
2019-06,7,7
2019-07,3,8
2019-08,3,10
2019-09,2,11
2019-10,1,13
2019-11,1,17
2019-12,1,56
2020-01,1,26
2020-02,1,12
2020-03,1,7
2020-04,7,4
2020-05,22,7
2020-06,13,10
2020-07,9,11
2020-08,4,13
2020-09,2,12
2020-10,1,16
2020-11,1,29
2020-12,1,43
2021-01,1,28
2021-02,2,13
2021-03,4,9
2021-04,16,8
2021-05,19,8
2021-06,37,10
2021-07,29,11
2021-08,18,10
2021-09,14,10
2021-10,19,12
2021-11,9,22
2021-12,10,36
2022-01,11,39
2022-02,20,16
2022-03,65,10
2022-04,88,8
2022-05,64,8
2022-06,46,9
2022-07,30,12
2022-08,20,10
2022-09,18,11
2022-10,13,15
2022-11,8,25
2022-12,8,37
2023-01,12,42
2023-02,26,12
2023-03,37,9
2023-04,74,8
2023-05,48,6
2023-06,63,8
2023-07,25,11
2023-08,20,9
2023-09,16,9
2023-10,7,13
2023-11,1,21
2023-12,1,35
2024-01,6,49
2024-02,26,13
2024-03,21,8
2024-04,45,6
2024-05,44,6
2024-06,37,7
